,F_STATION_NAME,ZDWD,ZDJD,STATION_CLUSTER
0,大桥街道办事处,36.76432347,116.9573667,DIV1
1,天桥东街道办事处,36.67414527,116.9919992,DIV1
2,北园街道办事处,36.69505484,117.0324754,DIV1
3,甸柳街道办事处,36.65906878,117.0599349,DIV1
5,华山街道办事处,36.71830615,117.054964,DIV1
6,鲍山街道办事处,36.71326468,117.1741414,DIV1
7,锦屏中学,36.628464,117.1174405,DIV1
9,美里湖街道办事处,36.72657634,116.8691989,DIV1
10,太平街道办事处,36.97472966,116.9588519,DIV1
16,柳埠街道办事处,36.44030924,117.1064762,DIV1
17,东关街道办事处,36.6767664,117.0329712,DIV1
19,工人新村南村街道办事处,36.69155534,116.9840182,DIV1
22,二七新村街道办事处,36.63934243,116.9878571,DIV1
25,魏家庄街道办事处,36.66682463,116.9976585,DIV1
27,四里村街道办事处,36.64323522,116.9918425,DIV1
28,制锦市街道办事处,36.66839556,117.0069545,DIV1
30,王舍人街道办事处,36.72376594,117.1369301,DIV1
34,张庄路街道办事处,36.64250149,116.8938194,DIV1
35,全福街道办事处,36.70489853,117.053056,DIV1
36,六里山街道办事处,36.6222409,116.9955513,DIV1
37,兴隆街道办事处,36.60318891,117.0381489,DIV1
38,官扎营街道办事处,36.67889914,116.9924151,DIV1
39,大明湖街道办事处,36.67018696,117.0268893,DIV1
40,东风街道办事处,36.68770854,117.0752152,DIV1
41,段店北路街道办事处,36.6543981,116.934547,DIV1
43,大观园街道办事处,36.66025138,116.992506,DIV1
45,宝华街街道办事处,36.67480401,116.9767362,DIV1
46,解放路街道办事处,36.66476476,117.0308166,DIV1
47,中大槐树街道办事处,36.65723561,116.9613441,DIV1
48,兴福街道办事处,36.68618707,116.8957257,DIV1
49,北坦街道办事处,36.67551054,117.0033126,DIV1
50,西市场街道办事处,36.65666072,116.9700574,DIV1
51,遥墙街道办事处,36.81644504,117.1855462,DIV1
55,山东鲁能,36.59575538,117.0206016,DIV1
56,舜耕街道办事处,36.63065135,117.0311751,DIV1
57,王官庄街道办事处,36.62776606,116.9563631,DIV1
61,泉城路街道办事处,36.66611111,117.0145027,DIV1
67,道德街街道办事处,36.65228615,116.9647595,DIV1
69,白马山街道办事处,36.62987294,116.9277148,DIV1
70,市博物馆,36.64086232,117.0267056,DIV1
75,郭店街道办事处,36.72269666,117.2250103,DIV1
77,智远街道办事处,36.66612644,117.161737,DIV1
80,燕山街道办事处,36.65670302,117.0529844,DIV1
82,无影山街道办事处,36.69018693,116.9774433,DIV1
84,董家街道办事处,36.74874199,117.2318997,DIV1
85,章锦街道办事处,36.6544552,117.2017232,DIV1
89,山大路街道办事处,36.67201011,117.0511106,DIV1
91,杆石桥街道办事处,36.65136441,116.983516,DIV1
93,文化东路街道办事处,36.65982355,117.0432448,DIV1
95,回河街道办事处,36.95543294,117.1003783,DIV1
96,纬北路街道办事处,36.67516759,116.9976843,DIV1
97,桑梓店街道办事处,36.78239883,116.9120638,DIV1
99,堤口路街道办事处,36.6822785,116.9599382,DIV1
100,崔寨街道办事处,36.86600912,117.0728356,DIV1
104,荷花路街道办事处,36.761316,117.0973265,DIV1
105,工人新村北村街道办事处,36.69621224,116.9858938,DIV1
107,千佛山街道办事处,36.6426166,117.0340833,DIV1
108,七里山街道办事处,36.62548459,116.9797968,DIV1
109,舜玉路街道办事处,36.62618322,117.0109533,DIV1
110,跑马岭,36.42621323,117.210631,DIV1
111,仲宫街道办事处,36.49866751,117.0206678,DIV1
115,泺源街道办事处,36.66219116,117.0085763,DIV1
116,五里沟街道办事处,36.66381113,116.9806613,DIV1
117,振兴街街道办事处,36.64744979,116.9693675,DIV1
118,孙耿街道办事处,36.89519461,116.9992176,DIV1
119,七贤街道办事处,36.61655021,116.9781086,DIV1
123,青年公园街道办事处,36.65232626,116.9785803,DIV1
127,唐冶街道办事处,36.67915808,117.2331889,DIV1
129,营市街街道办事处,36.64574093,116.9518263,DIV1
4,茶业口镇,36.48560098,117.6861789,DIV2
23,莱芜战役纪念馆,36.21723854,117.6868263,DIV2
26,莱钢,36.06864984,117.8325331,DIV2
58,高庄街道办事处,36.18296849,117.6440267,DIV2
62,汶源街道办事处,36.07059556,117.8626969,DIV2
66,寨里镇,36.30491084,117.4874464,DIV2
74,泰钢,36.22326521,117.6176104,DIV2
86,苗山镇,36.31635515,117.7861222,DIV2
87,牛泉镇,36.19092335,117.5364925,DIV2
92,和庄镇,36.40324349,117.8041854,DIV2
94,杨庄镇,36.24506522,117.4306897,DIV2
102,九羊,36.31097366,117.5358538,DIV2
126,大王庄镇,36.36052347,117.4753628,DIV2
12,仁风镇,37.1631268,117.3586689,DIV3
13,张坊镇,37.35284142,117.0973295,DIV3
15,殷巷镇,37.40074442,117.1435127,DIV3
18,龙桑寺镇,37.39495284,117.2851037,DIV3
32,韩庙镇,37.48416653,117.2426086,DIV3
33,怀仁镇,37.40243713,117.0424998,DIV3
42,白桥镇,37.18517421,117.2655385,DIV3
44,贾庄镇,37.26433977,117.076972,DIV3
52,玉皇庙镇,37.18560879,117.1037066,DIV3
59,郑路镇,37.27460162,117.3359245,DIV3
63,新市镇,37.08109609,117.0096152,DIV3
79,孙集镇,37.29848289,117.2635482,DIV3
128,沙河镇,37.42497083,117.2707588,DIV3
11,孔村镇,36.17633751,116.4649341,DIV4
53,东阿镇,36.17279108,116.2797794,DIV4
71,孝直镇,36.11189779,116.4378112,DIV4
103,洪范池镇,36.10293651,116.2859305,DIV4
112,玫瑰镇,36.23284346,116.3736908,DIV4
113,锦水街道办事处,36.2898789,116.4281708,DIV4
8,曹范街道办事处,36.61749962,117.3989419,DIV5
14,高新东区街道办事处,36.6889858,117.2928098,DIV5
20,圣井街道办事处,36.66508724,117.3980806,DIV5
21,章丘开发区,36.67586902,117.5073129,DIV5
24,明水街道办事处,36.70447041,117.55349,DIV5
72,宁家埠街道办事处,36.81912112,117.4305634,DIV5
73,普集街道办事处,36.71218042,117.6460713,DIV5
76,垛庄镇,36.50068817,117.4352168,DIV5
78,滨州临界点,36.8573178,117.567523,DIV5
83,绣惠街道办事处,36.81964684,117.4873864,DIV5
88,埠村街道办事处,36.61877408,117.4485888,DIV5
90,相公庄街道办事处,36.76249715,117.5552787,DIV5
98,官庄街道办事处,36.67252114,117.6055084,DIV5
101,高官寨街道办事处,36.91634631,117.3193524,DIV5
114,文祖街道办事处,36.60791843,117.5251288,DIV5
120,龙山街道办事处,36.74282664,117.3799594,DIV5
121,白云湖街道办事处,36.82893122,117.3868213,DIV5
125,枣园街道办事处,36.73149711,117.4643528,DIV5
29,马山镇,36.38193278,116.7741293,DIV6
31,陡沟街道办事处,36.60992273,116.8874513,DIV6
54,归德街道办事处,36.48170569,116.6683646,DIV6
60,党家街道办事处,36.58336542,116.8930203,DIV6
64,五峰街道办事处,36.44237314,116.8233197,DIV6
65,张夏街道办事处,36.45413459,116.9088022,DIV6
68,双泉镇,36.34610774,116.7073457,DIV6
81,万德街道办事处,36.34044571,116.9174746,DIV6
106,腊山街道办事处,36.63686793,116.8449929,DIV6
