F_STATION_NAME,ZDJD,ZDWD,STATION_CLUSTER
曹范街道办事处,117.3989419,36.61749962,DIV4
高新东区街道办事处,117.2928098,36.6889858,DIV4
圣井街道办事处,117.3980806,36.66508724,DIV4
章丘开发区,117.5073129,36.67586902,DIV4
明水街道办事处,117.55349,36.70447041,DIV4
宁家埠街道办事处,117.4305634,36.81912112,DIV4
普集街道办事处,117.6460713,36.71218042,DIV4
郭店街道办事处,117.2250103,36.72269666,DIV8
垛庄镇,117.4352168,36.50068817,DIV4
滨州临界点,117.567523,36.8573178,DIV4
绣惠街道办事处,117.4873864,36.81964684,DIV4
董家街道办事处,117.2318997,36.74874199,DIV8
埠村街道办事处,117.4485888,36.61877408,DIV4
相公庄街道办事处,117.5552787,36.76249715,DIV4
官庄街道办事处,117.6055084,36.67252114,DIV4
高官寨街道办事处,117.3193524,36.91634631,DIV4
文祖街道办事处,117.5251288,36.60791843,DIV4
龙山街道办事处,117.3799594,36.74282664,DIV4
白云湖街道办事处,117.3868213,36.82893122,DIV4
枣园街道办事处,117.4643528,36.73149711,DIV4
唐冶街道办事处,117.2331889,36.67915808,DIV8
大桥街道办事处,116.9573667,36.76432347,DIV9
天桥东街道办事处,116.9919992,36.67414527,DIV10
北园街道办事处,117.0324754,36.69505484,DIV12
甸柳街道办事处,117.0599349,36.65906878,DIV12
华山街道办事处,117.054964,36.71830615,DIV12
鲍山街道办事处,117.1741414,36.71326468,DIV8
锦屏中学,117.1174405,36.628464,DIV11
美里湖街道办事处,116.8691989,36.72657634,DIV9
太平街道办事处,116.9588519,36.97472966,DIV6
柳埠街道办事处,117.1064762,36.44030924,DIV7
东关街道办事处,117.0329712,36.6767664,DIV12
工人新村南村街道办事处,116.9840182,36.69155534,DIV10
二七新村街道办事处,116.9878571,36.63934243,DIV11
魏家庄街道办事处,116.9976585,36.66682463,DIV10
四里村街道办事处,116.9918425,36.64323522,DIV11
制锦市街道办事处,117.0069545,36.66839556,DIV12
王舍人街道办事处,117.1369301,36.72376594,DIV8
陡沟街道办事处,116.8874513,36.60992273,DIV5
张庄路街道办事处,116.8938194,36.64250149,DIV11
全福街道办事处,117.053056,36.70489853,DIV12
六里山街道办事处,116.9955513,36.6222409,DIV11
兴隆街道办事处,117.0381489,36.60318891,DIV13
官扎营街道办事处,116.9924151,36.67889914,DIV10
大明湖街道办事处,117.0268893,36.67018696,DIV12
东风街道办事处,117.0752152,36.68770854,DIV12
段店北路街道办事处,116.934547,36.6543981,DIV11
大观园街道办事处,116.992506,36.66025138,DIV10
宝华街街道办事处,116.9767362,36.67480401,DIV10
解放路街道办事处,117.0308166,36.66476476,DIV12
中大槐树街道办事处,116.9613441,36.65723561,DIV11
兴福街道办事处,116.8957257,36.68618707,DIV9
